Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	128	16	4096	8388608	14.173010380622838
all-gemms	128	16	8192	16777216	14.197573656845753
all-gemms	128	32	16	65536	9.846153846153847
all-gemms	128	32	32	131072	14.222222222222221
all-gemms	128	32	64	262144	18.285714285714285
all-gemms	128	32	128	524288	21.333333333333332
all-gemms	128	32	256	1048576	23.272727272727273
all-gemms	128	32	512	2097152	24.38095238095238
all-gemms	128	32	1024	4194304	24.975609756097562
all-gemms	128	32	2048	8388608	25.28395061728395
all-gemms	128	32	4096	16777216	25.440993788819874
all-gemms	128	32	8192	33554432	25.5202492211838
all-gemms	128	64	16	131072	11.636363636363637
all-gemms	128	64	32	262144	18.285714285714285
all-gemms	128	64	64	524288	25.6
all-gemms	128	64	128	1048576	32.0
all-gemms	128	64	256	2097152	36.57142857142857
all-gemms	128	64	512	4194304	39.38461538461539
all-gemms	128	64	1024	8388608	40.96
all-gemms	128	64	2048	16777216	41.795918367346935
all-gemms	128	64	4096	33554432	42.22680412371134
all-gemms	128	64	8192	67108864	42.44559585492228
all-gemms	128	128	16	262144	12.8
all-gemms	128	128	32	524288	21.333333333333332
all-gemms	128	128	64	1048576	32.0
all-gemms	128	128	128	2097152	42.666666666666664
all-gemms	128	128	256	4194304	51.2
all-gemms	128	128	512	8388608	56.888888888888886
all-gemms	128	128	1024	16777216	60.23529411764706
all-gemms	128	128	2048	33554432	62.06060606060606
all-gemms	128	128	4096	67108864	63.01538461538462
all-gemms	128	128	8192	134217728	63.50387596899225
all-gemms	128	256	16	524288	13.473684210526315
all-gemms	128	256	32	1048576	23.272727272727273
all-gemms	128	256	64	2097152	36.57142857142857
all-gemms	128	256	128	4194304	51.2
all-gemms	128	256	256	8388608	64.0
all-gemms	128	256	512	16777216	73.14285714285714
all-gemms	128	256	1024	33554432	78.76923076923077
all-gemms	128	256	2048	67108864	81.92
all-gemms	128	256	4096	134217728	83.59183673469387
all-gemms	128	256	8192	268435456	84.45360824742268
all-gemms	128	512	16	1048576	13.837837837837839
all-gemms	128	512	32	2097152	24.38095238095238
all-gemms	128	512	64	4194304	39.38461538461539
all-gemms	128	512	128	8388608	56.888888888888886
all-gemms	128	512	256	16777216	73.14285714285714
all-gemms	128	512	512	33554432	85.33333333333333
all-gemms	128	512	1024	67108864	93.0909090909091
all-gemms	128	512	2048	134217728	97.52380952380952
all-gemms	128	512	4096	268435456	99.90243902439025
all-gemms	128	512	8192	536870912	101.1358024691358
all-gemms	128	1024	16	2097152	14.027397260273972
all-gemms	128	1024	32	4194304	24.975609756097562
all-gemms	128	1024	64	8388608	40.96
all-gemms	128	1024	128	16777216	60.23529411764706
all-gemms	128	1024	256	33554432	78.76923076923077
all-gemms	128	1024	512	67108864	93.0909090909091
all-gemms	128	1024	1024	134217728	102.4
all-gemms	128	1024	2048	268435456	107.78947368421052
all-gemms	128	1024	4096	536870912	110.70270270270271
all-gemms	128	1024	8192	1073741824	112.21917808219177
all-gemms	128	2048	16	4194304	14.124137931034483
all-gemms	128	2048	32	8388608	25.28395061728395
all-gemms	128	2048	64	16777216	41.795918367346935
all-gemms	128	2048	128	33554432	62.06060606060606
all-gemms	128	2048	256	67108864	81.92
all-gemms	128	2048	512	134217728	97.52380952380952
all-gemms	128	2048	1024	268435456	107.78947368421052
all-gemms	128	2048	2048	536870912	113.77777777777777
all-gemms	128	2048	4096	1073741824	117.02857142857142
all-gemms	128	2048	8192	2147483648	118.72463768115942
all-gemms	128	4096	16	8388608	14.173010380622838
all-gemms	128	4096	32	16777216	25.440993788819874
all-gemms	128	4096	64	33554432	42.22680412371134
all-gemms	128	4096	128	67108864	63.01538461538462
all-gemms	128	4096	256	134217728	83.59183673469387
all-gemms	128	4096	512	268435456	99.90243902439025
all-gemms	128	4096	1024	536870912	110.70270270270271
all-gemms	128	4096	2048	1073741824	117.02857142857142
all-gemms	128	4096	4096	2147483648	120.47058823529412
all-gemms	128	4096	8192	4294967296	122.26865671641791
all-gemms	128	8192	16	16777216	14.197573656845753
all-gemms	128	8192	32	33554432	25.5202492211838
all-gemms	128	8192	64	67108864	42.44559585492228
all-gemms	128	8192	128	134217728	63.50387596899225
all-gemms	128	8192	256	268435456	84.45360824742268
all-gemms	128	8192	512	536870912	101.1358024691358
all-gemms	128	8192	1024	1073741824	112.21917808219177
all-gemms	128	8192	2048	2147483648	118.72463768115942
all-gemms	128	8192	4096	4294967296	122.26865671641791
all-gemms	128	8192	8192	8589934592	124.12121212121212
all-gemms	256	16	16	65536	7.757575757575758
all-gemms	256	16	32	131072	10.24
all-gemms	256	16	64	262144	12.19047619047619
all-gemms	256	16	128	524288	13.473684210526315
all-gemms	256	16	256	1048576	14.222222222222221
all-gemms	256	16	512	2097152	14.628571428571428
all-gemms	256	16	1024	4194304	14.840579710144928
all-gemms	256	16	2048	8388608	14.94890510948905
all-gemms	256	16	4096	16777216	15.003663003663004
all-gemms	256	16	8192	33554432	15.03119266055046
all-gemms	256	32	16	131072	10.24
all-gemms	256	32	32	262144	15.058823529411764
all-gemms	256	32	64	524288	19.692307692307693
all-gemms	256	32	128	1048576	23.272727272727273
all-gemms	256	32	256	2097152	25.6
all-gemms	256	32	512	4194304	26.94736842105263
all-gemms	256	32	1024	8388608	27.675675675675677
all-gemms	256	32	2048	16777216	28.054794520547944
all-gemms	256	32	4096	33554432	28.248275862068965
all-gemms	256	32	8192	67108864	28.346020761245676
all-gemms	256	64	16	262144	12.19047619047619
all-gemms	256	64	32	524288	19.692307692307693
all-gemms	256	64	64	1048576	28.444444444444443
all-gemms	256	64	128	2097152	36.57142857142857
all-gemms	256	64	256	4194304	42.666666666666664
all-gemms	256	64	512	8388608	46.54545454545455
all-gemms	256	64	1024	16777216	48.76190476190476
all-gemms	256	64	2048	33554432	49.951219512195124
all-gemms	256	64	4096	67108864	50.5679012345679
all-gemms	256	64	8192	134217728	50.88198757763975
all-gemms	256	128	16	524288	13.473684210526315
all-gemms	256	128	32	1048576	23.272727272727273
all-gemms	256	128	64	2097152	36.57142857142857
all-gemms	256	128	128	4194304	51.2
all-gemms	256	128	256	8388608	64.0
all-gemms	256	128	512	16777216	73.14285714285714
all-gemms	256	128	1024	33554432	78.76923076923077
all-gemms	256	128	2048	67108864	81.92
all-gemms	256	128	4096	134217728	83.59183673469387
all-gemms	256	128	8192	268435456	84.45360824742268
all-gemms	256	256	16	1048576	14.222222222222221
all-gemms	256	256	32	2097152	25.6
all-gemms	256	256	64	4194304	42.666666666666664
all-gemms	256	256	128	8388608	64.0
all-gemms	256	256	256	16777216	85.33333333333333
all-gemms	256	256	512	33554432	102.4
all-gemms	256	256	1024	67108864	113.77777777777777
all-gemms	256	256	2048	134217728	120.47058823529412
all-gemms	256	256	4096	268435456	124.12121212121212
all-gemms	256	256	8192	536870912	126.03076923076924
all-gemms	256	512	16	2097152	14.628571428571428
all-gemms	256	512	32	4194304	26.94736842105263
all-gemms	256	512	64	8388608	46.54545454545455
all-gemms	256	512	128	16777216	73.14285714285714
all-gemms	256	512	256	33554432	102.4
all-gemms	256	512	512	67108864	128.0
all-gemms	256	512	1024	134217728	146.28571428571428
all-gemms	256	512	2048	268435456	157.53846153846155
all-gemms	256	512	4096	536870912	163.84
all-gemms	256	512	8192	1073741824	167.18367346938774
all-gemms	256	1024	16	4194304	14.840579710144928
all-gemms	256	1024	32	8388608	27.675675675675677
all-gemms	256	1024	64	16777216	48.76190476190476
all-gemms	256	1024	128	33554432	78.76923076923077
all-gemms	256	1024	256	67108864	113.77777777777777
all-gemms	256	1024	512	134217728	146.28571428571428
all-gemms	256	1024	1024	268435456	170.66666666666666
all-gemms	256	1024	2048	536870912	186.1818181818182
all-gemms	256	1024	4096	1073741824	195.04761904761904
all-gemms	256	1024	8192	2147483648	199.8048780487805
all-gemms	256	2048	16	8388608	14.94890510948905
all-gemms	256	2048	32	16777216	28.054794520547944
all-gemms	256	2048	64	33554432	49.951219512195124
all-gemms	256	2048	128	67108864	81.92
all-gemms	256	2048	256	134217728	120.47058823529412
all-gemms	256	2048	512	268435456	157.53846153846155
all-gemms	256	2048	1024	536870912	186.1818181818182
all-gemms	256	2048	2048	1073741824	204.8
all-gemms	256	2048	4096	2147483648	215.57894736842104
all-gemms	256	2048	8192	4294967296	221.40540540540542
all-gemms	256	4096	16	16777216	15.003663003663004
all-gemms	256	4096	32	33554432	28.248275862068965
all-gemms	256	4096	64	67108864	50.5679012345679
all-gemms	256	4096	128	134217728	83.59183673469387
all-gemms	256	4096	256	268435456	124.12121212121212
all-gemms	256	4096	512	536870912	163.84
